selector_name,selected_event_count,false_nucleus_rate,contact_cluster_precision,long_range_contact_recall,coupling_constraint_recall,real_vs_decoy_coupling_enrichment_ratio,real_beats_decoy_coupling_score_rate,mean_selected_coupling_selectivity_score,mean_decoy_coupling_selectivity_score,mean_coupling_decoy_selectivity_margin,mean_coupling_nucleus_score,mean_decoy_coupling_nucleus_score,mean_coupling_nucleus_decoy_margin,real_vs_decoy_coupling_nucleus_enrichment_ratio,real_beats_decoy_coupling_nucleus_score_rate,survives_targets,coordinate_truth_used_to_build_constraints,native_truth_used_before_coupling_selection,raw_sequence_exposed
external_score_margin_expanded_external_low_confidence_tail,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
external_score_margin_expanded_external_calibrated_confidence_permuted,18,0.1375,0.073242,0.111199,0.122914,1.695514,1.0,0.57174,0.337208,0.234532,0.553988,0.356762,0.197226,1.552822,1.0,False,False,False,False
external_score_margin_expanded_external_calibrated_cross_row_swapped,1,0.125,0.0,0.0,0.007353,2.168011,1.0,0.676389,0.311986,0.364403,0.584779,0.288575,0.296204,2.026437,1.0,False,False,False,False
external_boundary_continuity_expanded_external_shuffled_same_row_same_separation,23,0.366667,0.069271,0.090002,0.104053,1.682516,1.0,0.467104,0.277622,0.189482,0.459056,0.309768,0.149288,1.481935,1.0,False,False,False,False
external_boundary_continuity_expanded_external_confidence_permuted,4,0.0625,0.025391,0.017925,0.018304,2.186413,1.0,0.45595,0.208538,0.247412,0.489327,0.255498,0.233829,1.915189,1.0,False,False,False,False
external_boundary_continuity_expanded_external_cross_row_swapped,1,0.0,0.046875,0.0,0.011194,1.905423,1.0,0.771765,0.405036,0.366729,0.591386,0.271969,0.319417,2.174461,1.0,False,False,False,False
external_boundary_continuity_expanded_external_random_long_range_same_count,23,0.458333,0.065104,0.152495,0.187043,1.313144,0.869565,0.584705,0.445271,0.139434,0.539776,0.431346,0.10843,1.251376,0.826087,False,False,False,False
external_boundary_continuity_expanded_external_low_confidence_tail,1,0.0,0.037109,0.069853,0.037946,3.704962,1.0,0.619188,0.167124,0.452064,0.475274,0.197827,0.277447,2.402473,1.0,False,False,False,False
external_boundary_continuity_expanded_external_calibrated_confidence_permuted,20,0.116667,0.065104,0.114875,0.138297,1.723733,1.0,0.570027,0.330693,0.239334,0.548954,0.349339,0.199615,1.571408,1.0,False,False,False,False
external_boundary_continuity_expanded_external_calibrated_cross_row_swapped,2,0.125,0.046875,0.0,0.018547,2.019679,1.0,0.724077,0.358511,0.365566,0.588083,0.280272,0.307811,2.098258,1.0,False,False,False,False
external_edge_continuity_expanded_external_shuffled_same_row_same_separation,23,0.366667,0.069271,0.090002,0.104053,1.682516,1.0,0.467104,0.277622,0.189482,0.459056,0.309768,0.149288,1.481935,1.0,False,False,False,False
